Name,Address
108 Food Dried Hot Pot,"2794 Broadway, New York, NY 10025"
Auntea,"19A Mott St, New York, NY 10013"
Avalon New York,"208 W 23rd St, New York, NY 10011"
Bar Pa Tea,"85 Kenmare St, New York, NY 10012"
Boba Guys,"11 Waverly Pl, New York, NY 10002"
Boba Guys,"23 Clinton Street, New York, NY 10003"
Boba Guys,"265 Canal St, New York, NY 10013"
BobaMosa,"1300 Madison Ave, New York, NY 10128"
Bubble Tea & Crepes,"251 5th Ave, New York, NY 10016"
Bubbly Tea,"55B Bayard St, New York, NY 10013"
Cafe East,"2920 Broadway, New York, NY 10027"
Cafe Zaiya,"18 E 41st St, New York, NY 10017"
Cafe Zaiya,"69 Cooper Sq, New York, NY 10003"
Cafe Zaiya,"1073 6th Ave, New York, NY 10018"
Cha Cha Matcha,"373 Broome St, New York, NY 10013"
Chatime,"858 Lexington Ave, New York, NY 10065"
CoCo Fresh Tea & Juice,"118 W 72nd, St New York, NY 10023"
CoCo Fresh Tea & Juice,"156 Delancey St, New York, NY 10002"
Cool Fresh Juice Bar,"2661 A Broadway, New York, NY 10025"
Culture Tea Bar,"3111 Broadway, New York, NY 10027"
Formosa Cafe,"34 Eldridge St, New York, NY 10002"
Gong Cha,"1 Catherine St, New York, NY 10038"
Gong Cha,"12 W 32nd St, New York, NY 10001"
Gong Cha,"209 E 14th St, New York, NY 10003"
Gong Cha,"75 W 38th St, New York, NY 10018"
Harmony,"390 Manhattan Ave, New York, NY 10026"
Hawa Smoothies & Bubble Tea,"422 E 14th St, New York, NY 10009"
Juice Vitality,"192 1st Ave, New York, NY 10009"
Juice Vitality,"18 Beaver St, New York, NY 10004"
Jupioca,"1457 York Ave, New York, NY 10075"
Jupioca,"200 W14th St, New York, NY 10011"
Jupioca ,"39 John St, New York, NY 10038"
Kung Fu Tea,"11 West 32nd St, New York, NY 10001"
Kung Fu Tea,"9 Broadway, New York, NY 10004"
Loving Tea,"196 Canal St, New York, NY 10013"
Mee Cafe,"26 Rutgers St, New York, NY 10002"
Momentea,"66A 7th Ave, New York, NY 10011"
MuMu tea,"60 E 8th St, New York, NY 10003"
Nohohon Tea,"9 St Marks Pl, New York, NY 10003 "
Panda Bubble Tea,"1000 S 8th Ave, New York, NY 10019"
Panda Cafe,"124A Hester St, New York, NY 10002"
PaTea,"227 E 14th St, New York, NY 10003"
Puff Cha Ramen,"457 W 50th St, New York, NY 10019"
Shiny Tea,"2667 Broadway, New York, NY 10025"
Silk Road Cafe,"30 Mott St, New York, NY 10013"
Smoocha Tea & Juice Bar,"315 5th Ave, New York, NY 10016"
Sweets Bakery,"125 Walker St, New York, NY 10013"
Taiwan Bear House,"11 Pell St, New York, NY 10013"
Tea Magic,"2878 Broadway, New York, NY 10025"
Teado Tea Shop,"145D Hester, St New York, NY 10002"
Ten Ren Tea,"73 Mott St, New York, NY 10013"
Vivi Bubble Tea,"170 W 23rd St, New York, NY 10011"
Vivi Bubble Tea,"18 W 14th St, New York, NY 10011"
Vivi Bubble Tea,"65 W 8th St, New York, NY 10011"
Vlife,"348 7th Ave, New York, NY 10001"
Yaya Tea Garden,"206 Grand St New York, NY 10013"
Yaya Tea Garden,"51 Chystie St, New York, NY 10002"
Yaya Tea Garden,"284 3rd Ave, New York, NY 10010"